area,price-per-area,floor/store,no of floors/stores in the building,no of rooms,year of construction,parking space,latitude,longitude,distance,market_pierwotny,market_wtórny,form of ownership_pełna własność,form of ownership_spółdzielcze wł. prawo do lokalu,form of ownership_udział,form of ownership_użytkowanie wieczyste / dzierżawa,district_Bieńczyce,district_Bieżanów-Prokocim,district_Bronowice,district_Czyżyny,district_Dębniki,district_Grzegórzki,district_Krowodrza,district_Mistrzejowice,district_Nowa Huta,district_Podgórze,district_Podgórze Duchackie,district_Prądnik Biały,district_Prądnik Czerwony,district_Stare Miasto,district_Swoszowice,district_Wzgórza Krzesławickie,district_Zwierzyniec,district_Łagiewniki-Borek Fałęcki
76.36,14850.0,6,6,4,2012.0,True,50.081332,19.9512313,2.3830385933542377,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
94.54,13900.0,1,6,4,2024.0,True,50.081332,19.9512313,2.3830385933542377,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
31.0,18064.52,2,2,1,2012.0,False,50.081332,19.9512313,2.3830385933542377,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
16.5,18121.21,2,3,1,1930.0,False,50.0826396,19.9519808,2.5375197954134,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
31.0,18065.0,2,2,1,2012.0,False,50.0831501,19.952517,2.605040988456369,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
48.0,14479.0,1,2,2,1980.0,False,50.0831501,19.952517,2.605040988456369,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
34.5,19710.0,0,6,2,2024.0,True,50.0750648,19.9467425,1.616068321664732,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
48.5,16433.0,2,2,2,1960.0,True,50.0750648,19.9467425,1.616068321664732,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
41.0,19488.0,4,8,2,2018.0,False,50.0750648,19.9467425,1.616068321664732,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
47.0,18532.0,0,6,3,2024.0,True,50.0750648,19.9467425,1.616068321664732,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
68.0,15441.0,1,6,4,2024.0,True,50.0750648,19.9467425,1.616068321664732,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
68.51,21734.0,3,6,3,2021.0,True,50.0750648,19.9467425,1.616068321664732,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
40.35,16850.06,5,5,2,2024.0,True,50.0997677,19.9628389,4.592694516232151,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
48.0,14479.17,1,2,2,1980.0,False,50.0997677,19.9628389,4.592694516232151,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
47.5,15091.01,2,5,2,2023.0,False,50.0997677,19.9628389,4.592694516232151,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
50.25,14381.73,3,5,1,2023.0,False,50.0997677,19.9628389,4.592694516232151,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
50.33,14382.0,3,5,2,2023.0,False,50.0997677,19.9628389,4.592694516232151,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
47.46,15326.0,3,5,2,2023.0,False,50.0997677,19.9628389,4.592694516232151,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
50.07,14621.43,0,5,2,2023.0,False,50.0997677,19.9628389,4.592694516232151,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
50.15,14621.44,0,5,2,2022.0,False,50.0997677,19.9628389,4.592694516232151,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
50.2,14621.43,0,5,2,2022.0,False,50.0997677,19.9628389,4.592694516232151,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
50.3,14621.43,4,5,2,2023.0,False,50.0997677,19.9628389,4.592694516232151,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
49.98,14741.28,5,5,2,2022.0,False,50.0997677,19.9628389,4.592694516232151,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
50.4,14621.43,4,5,2,2023.0,False,50.0997677,19.9628389,4.592694516232151,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
47.5,15561.01,4,5,2,2023.0,False,50.0997677,19.9628389,4.592694516232151,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
50.12,14861.13,5,5,2,2022.0,False,50.0997677,19.9628389,4.592694516232151,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
43.0,17441.86,2,7,2,2022.0,True,50.0997677,19.9628389,4.592694516232151,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
55.75,13569.76,3,5,2,2023.0,False,50.0997677,19.9628389,4.592694516232151,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
55.75,13569.76,3,5,2,2023.0,False,50.0997677,19.9628389,4.592694516232151,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
53.48,14164.57,5,5,2,2023.0,False,50.0997677,19.9628389,4.592694516232151,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
53.48,14164.57,5,5,2,2023.0,False,50.0997677,19.9628389,4.592694516232151,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
55.44,13688.8,0,5,2,2023.0,False,50.0997677,19.9628389,4.592694516232151,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
55.44,13688.8,0,5,2,2023.0,False,50.0997677,19.9628389,4.592694516232151,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
52.6,14579.85,1,5,3,2024.0,True,50.0997677,19.9628389,4.592694516232151,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
55.57,13807.83,4,5,2,2023.0,False,50.0997677,19.9628389,4.592694516232151,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
55.61,13926.87,5,5,2,2023.0,False,50.0997677,19.9628389,4.592694516232151,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
61.3,12702.92,0,5,3,2023.0,False,50.0997677,19.9628389,4.592694516232151,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
61.3,12702.92,1,5,2,2023.0,False,50.0997677,19.9628389,4.592694516232151,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
60.68,13477.16,0,5,2,2022.0,False,50.0997677,19.9628389,4.592694516232151,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
46.55,17597.85,5,5,2,2023.0,False,50.0997677,19.9628389,4.592694516232151,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
60.62,13673.77,0,5,2,2023.0,False,50.0997677,19.9628389,4.592694516232151,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
60.74,13713.6,0,5,2,2023.0,False,50.0997677,19.9628389,4.592694516232151,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
60.85,13952.34,9,10,3,2012.0,True,50.0997677,19.9628389,4.592694516232151,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
67.5,12900.0,0,5,3,2023.0,False,50.0997677,19.9628389,4.592694516232151,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
73.2,13195.36,1,5,4,2024.0,True,50.0997677,19.9628389,4.592694516232151,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
86.11,12333.93,2,5,4,2023.0,False,50.0997677,19.9628389,4.592694516232151,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
103.86,16500.0,4,5,2,2023.0,False,50.0997677,19.9628389,4.592694516232151,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
15.34,16500.0,0,5,1,2022.0,False,50.0826396,19.9519808,2.5375197954134,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
15.83,16700.0,1,5,1,2022.0,False,50.0826396,19.9519808,2.5375197954134,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
15.76,17131.98,5,5,1,2022.0,False,50.0826396,19.9519808,2.5375197954134,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
15.51,17500.0,0,5,1,2022.0,False,50.0826396,19.9519808,2.5375197954134,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
16.04,17500.0,2,5,1,2022.0,False,50.0826396,19.9519808,2.5375197954134,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
15.69,18000.0,0,5,1,2022.0,False,50.0826396,19.9519808,2.5375197954134,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
15.76,19000.0,4,5,1,2022.0,False,50.0826396,19.9519808,2.5375197954134,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
16.04,19000.0,5,5,1,2022.0,False,50.0826396,19.9519808,2.5375197954134,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
16.13,19000.0,3,5,1,2022.0,False,50.0826396,19.9519808,2.5375197954134,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
16.13,19026.04,2,5,1,2022.0,False,50.0826396,19.9519808,2.5375197954134,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
16.04,19187.03,4,5,1,2022.0,False,50.0826396,19.9519808,2.5375197954134,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
16.13,19500.0,4,5,1,2022.0,False,50.0826396,19.9519808,2.5375197954134,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
35.5,14788.73,2,3,3,2012.0,False,50.0826396,19.9519808,2.5375197954134,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
42.0,16190.48,4,5,2,2026.0,True,50.0826396,19.9519808,2.5375197954134,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
48.0,20312.5,7,9,2,2018.0,True,50.0826396,19.9519808,2.5375197954134,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
63.5,16220.47,4,5,3,2026.0,True,50.0826396,19.9519808,2.5375197954134,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
78.4,14000.0,1,6,3,2024.0,True,50.0826396,19.9519808,2.5375197954134,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
