,url,name/title,address,price,area,price-per-area,floor/store,no of floors/stores in the building,no of rooms,year of construction,parking space,market,form of ownership,condition,rent,heating,advertiser type,elevator,outdoor area,building type,building material,location,latitude,longitude
4887,https://www.otodom.pl/pl/oferta/ul-kollataja-3-pokoje-osobna-kuchnia-i-pietro-ID4pFvI,"ul. Kołłątaja, 3 pokoje, osobna kuchnia, I piętro","Kołłątaja / ul. Bujwida, Stare Miasto, Stare Miasto, Kraków, małopolskie",1722000.0,82.0,21000.0,1,3,3,1910.0,False,wtórny,pełna własność,do zamieszkania,270.0,gazowe,biuro nieruchomości,False,balkon,kamienica,cegła,"Odona Bujwida, Wesoła II, Grzegórzki, Kraków, województwo małopolskie, 31-529, Polska",50.060879,19.9502566
4888,https://www.otodom.pl/pl/oferta/eleganckie-mieszkanie-w-zabytkowej-kamienicy-ID4mcK5,Eleganckie mieszkanie w zabytkowej kamienicy,"Krakowska, Kazimierz, Stare Miasto, Kraków, małopolskie",1250000.0,77.24,16183.0,3,3,3,1836.0,False,wtórny,pełna własność,do zamieszkania,490.0,elektryczne,biuro nieruchomości,False,None,kamienica,cegła,"Krakowska, Kazimierz, Stare Miasto, Kraków, województwo małopolskie, 31-066, Polska",50.0481146,19.9434232
4889,https://www.otodom.pl/pl/oferta/mieszkanie-dwupoziomowe-na-starym-miescie-ID4nCPv,Mieszkanie dwupoziomowe na Starym Mieście,"Krakowska, Kazimierz, Stare Miasto, Kraków, małopolskie",2550000.0,130.0,19615.0,3,4,3,1899.0,False,wtórny,pełna własność,do zamieszkania,541.1313434298921,miejskie,biuro nieruchomości,True,balkon,kamienica,cegła,"Krakowska, Kazimierz, Stare Miasto, Kraków, województwo małopolskie, 31-066, Polska",50.0481146,19.9434232
4890,https://www.otodom.pl/pl/oferta/krakow-kazimierz-inwestycyjne-2-pokoje-80m2-ID4pLeI,"Kraków, Kazimierz, inwestycyjne 2 pokoje 80m2","Krakowska, Kazimierz, Stare Miasto, Kraków, małopolskie",2999000.0,80.0,37488.0,2,3,2,2013.0,False,wtórny,pełna własność,do zamieszkania,350.0,gazowe,biuro nieruchomości,False,None,kamienica,cegła,"Krakowska, Kazimierz, Stare Miasto, Kraków, województwo małopolskie, 31-066, Polska",50.0481146,19.9434232
4891,https://www.otodom.pl/pl/oferta/kawalerka-przy-kladce-bernatka-bez-posrednikow-ID4o7ZS,Kawalerka przy Kładce Bernatka - BEZ POŚREDNIKÓW,"Krakusa, Stare Podgórze, Podgórze, Kraków, małopolskie",470000.0,31.0,15161.0,3,3,1,1930.0,False,wtórny,pełna własność,do zamieszkania,185.0,elektryczne,prywatny,False,None,kamienica,cegła,"Krakusa, Stare Podgórze, Podgórze, Kraków, województwo małopolskie, 30-535, Polska",50.0446274,19.9525206
4892,https://www.otodom.pl/pl/oferta/1-pok-studio-w-poblizu-bulwarow-wislanych-ID4prA4,1 pok. studio w pobliżu Bulwarów Wiślanych,"Krakusa, Stare Podgórze, Podgórze, Kraków, małopolskie",470000.0,31.0,15161.0,3,3,1,1930.0,False,wtórny,pełna własność,do zamieszkania,185.0,elektryczne,biuro nieruchomości,False,None,kamienica,cegła,"Krakusa, Stare Podgórze, Podgórze, Kraków, województwo małopolskie, 30-535, Polska",50.0446274,19.9525206
4893,https://www.otodom.pl/pl/oferta/apartament-inwestycyjny-w-sercu-krakowa-ID4piJc,Apartament inwestycyjny w sercu Krakowa,"Krakusa, Stare Podgórze, Podgórze, Kraków, małopolskie",489000.0,31.0,15774.0,3,3,1,1930.0,False,wtórny,pełna własność,do zamieszkania,185.0,elektryczne,biuro nieruchomości,False,None,kamienica,cegła,"Krakusa, Stare Podgórze, Podgórze, Kraków, województwo małopolskie, 30-535, Polska",50.0446274,19.9525206
4894,https://www.otodom.pl/pl/oferta/kawalerka-stare-podgorze-gotowa-inwestycja-ID4prTV,Kawalerka | Stare Podgórze | Gotowa Inwestycja,"Krakusa, Stare Podgórze, Podgórze, Kraków, małopolskie",499000.0,31.0,16097.0,3,3,1,1930.0,False,wtórny,pełna własność,do zamieszkania,185.0,elektryczne,biuro nieruchomości,False,None,blok,brak informacji,"Krakusa, Stare Podgórze, Podgórze, Kraków, województwo małopolskie, 30-535, Polska",50.0446274,19.9525206
4895,https://www.otodom.pl/pl/oferta/gotowiec-inwestycyjny-w-zabytkowej-dzielnicy-ID4pfkJ,Gotowiec inwestycyjny w zabytkowej dzielnicy,"Krakusa, Stare Podgórze, Podgórze, Kraków, małopolskie",550000.0,31.0,17742.0,3,3,1,1930.0,False,wtórny,pełna własność,do zamieszkania,185.0,elektryczne,biuro nieruchomości,False,ogródek,kamienica,cegła,"Krakusa, Stare Podgórze, Podgórze, Kraków, województwo małopolskie, 30-535, Polska",50.0446274,19.9525206
4896,https://www.otodom.pl/pl/oferta/wysoki-standard-krakusa-nadwislanska-podgorze-ID4pmAo,Wysoki standard Krakusa Nadwiślańska Podgórze,"Krakusa, Stare Podgórze, Podgórze, Kraków, małopolskie",895000.0,33.0,27121.0,2,3,2,2022.0,False,wtórny,pełna własność,do zamieszkania,395.0,miejskie,biuro nieruchomości,False,None,kamienica,cegła,"Krakusa, Stare Podgórze, Podgórze, Kraków, województwo małopolskie, 30-535, Polska",50.0446274,19.9525206
4897,https://www.otodom.pl/pl/oferta/mieszkanie-35-m2-niski-parter-stare-miasto-ID4pU0S,"Mieszkanie 35 m2, niski parter, Stare Miasto","Kremerowska, Piasek, Stare Miasto, Kraków, małopolskie",535500.0,35.0,15300.0,0,4,1,1907.0,False,wtórny,pełna własność,do zamieszkania,232.0,elektryczne,biuro nieruchomości,False,balkon,kamienica,cegła,"Kremerowska, Piasek, Stare Miasto, Kraków, województwo małopolskie, 31-130, Polska",50.0678798,19.9296418
4898,https://www.otodom.pl/pl/oferta/stare-miasto-ul-siemiradzkiego-pokoje-ID4ogTN,Stare Miasto – ul. Siemiradzkiego – pokoje,"Siemiradzkiego – pokoje, Piasek, Stare Miasto, Kraków, małopolskie",1350000.0,46.0,29348.0,4,4,2,2009.0,False,wtórny,pełna własność,brak informacji,541.1313434298921,brak informacji,biuro nieruchomości,True,balkon,apartamentowiec,brak informacji,"Henryka Siemiradzkiego, Piasek, Stare Miasto, Kraków, województwo małopolskie, 31-139, Polska",50.0691422,19.9328317
4899,https://www.otodom.pl/pl/oferta/kremerowska-stare-miasto-lux-ID4loMO,Kremerowska - Stare Miasto - Lux!!!,"Kremerowska, Piasek, Stare Miasto, Kraków, małopolskie",1620000.0,77.0,21039.0,4,4,2,2013.0,False,wtórny,pełna własność,brak informacji,541.1313434298921,gazowe,biuro nieruchomości,True,None,kamienica,brak informacji,"Kremerowska, Piasek, Stare Miasto, Kraków, województwo małopolskie, 31-130, Polska",50.0678798,19.9296418
