,url,name/title,address,price,area,price-per-area,floor/store,no of floors/stores in the building,no of rooms,year of construction,parking space,market,form of ownership,parking space details,location,latitude,longitude,distance,district
6130,"https://krakow.nieruchomosci-online.pl/mieszkanie,na-sprzedaz/24921753.html","Mieszkanie, ul. Sempołowskiej","Sempołowskiej, Wola Duchacka Zachód, Kraków, małopolskie",670000.0,60.0,11166.67,1,2,3,1992.0,False,wtórny,pełna własność,parking publiczny / na ulicy,"Stefanii Sempołowskiej, Wola Duchacka, Podgórze Duchackie, Kraków, województwo małopolskie, 30-655, Polska",50.0193828,19.957427,4.936290899590352,Podgórze Duchackie
6131,"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-kuchnia-z-oknem/24685588.html","Mieszkanie, ul. Sempołowskiej","Sempołowskiej, Wola Duchacka, Kraków, małopolskie",868000.0,59.75,14527.0,0,3,3,1992.0,False,wtórny,pełna własność,parking publiczny / na ulicy,"Stefanii Sempołowskiej, Wola Duchacka, Podgórze Duchackie, Kraków, województwo małopolskie, 30-655, Polska",50.0193828,19.957427,4.936290899590352,Podgórze Duchackie
6132,"https://krakow.nieruchomosci-online.pl/mieszkanie,kawalerka,z-aneksem-kuchennym/24770390.html","Kawalerka, ul. Senatorska","Senatorska, Krowodrza, Kraków, małopolskie",365000.0,19.0,19211.0,3,3,1,1950.0,False,wtórny,pełna własność,możliwość wykupienia,"Senatorska, Półwsie Zwierzynieckie, Zwierzyniec, Kraków, województwo małopolskie, 30-107, Polska",50.0552563,19.9209885,1.3766060282085042,Zwierzyniec
6133,"https://krakow.nieruchomosci-online.pl/mieszkanie,m3,z-kuchnia-z-oknem/24800543.html","Mieszkanie, ul. Serbska","Serbska, Wola Duchacka, Kraków, małopolskie",885000.0,56.02,15798.0,3,4,3,1981.0,False,wtórny,spółdzielcze wł. prawo do lokalu,parking publiczny / na ulicy,"Serbska, Wola Duchacka, Podgórze Duchackie, Kraków, województwo małopolskie, 30-638, Polska",50.0204553,19.9728818,5.257818592148568,Podgórze Duchackie
6134,"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24784679.html","Mieszkanie, ul. Seweryna","Seweryna, Bieżanów-Prokocim, Kraków, małopolskie",590000.0,34.0,17352.94,2,4,2,2007.0,True,wtórny,pełna własność,przynależne na ulicy,"Seweryna Udzieli, Osiedle Nowy Bieżanów-Północ, Bieżanów, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-855, Polska",50.0237189,20.013068,6.873971819303651,Bieżanów-Prokocim
6135,"https://krakow.nieruchomosci-online.pl/mieszkanie,m4,z-oddzielna-kuchnia/24243834.html","Mieszkanie, ul. Seweryna","Seweryna, Bieżanów-Prokocim, Kraków, małopolskie",1300000.0,120.0,10833.33,3,4,4,1998.0,True,wtórny,pełna własność,garaż,"Seweryna Udzieli, Osiedle Nowy Bieżanów-Północ, Bieżanów, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-855, Polska",50.0237189,20.013068,6.873971819303651,Bieżanów-Prokocim
6136,"https://krakow.nieruchomosci-online.pl/mieszkanie,kawalerka,z-oddzielna-kuchnia/24894569.html","Kawalerka, ul. Seweryna","Seweryna, Dzielnica XIII Podgórze, Kraków, małopolskie",440000.0,24.68,17828.2,1,4,1,1970.0,False,wtórny,pełna własność,parking publiczny / na ulicy,"Seweryna Goszczyńskiego, Zagumnie, Płaszów, Podgórze, Kraków, województwo małopolskie, 30-720, Polska",50.0399448,19.984093,4.134486433794375,Podgórze
6137,"https://krakow.nieruchomosci-online.pl/mieszkanie,kawalerka,z-aneksem-kuchennym/24922058.html","Kawalerka, ul. Seweryna","Seweryna, Kozłówek, Kraków, małopolskie",480000.0,20.0,24000.0,3,4,1,1980.0,True,wtórny,pełna własność,tak,"Seweryna Udzieli, Osiedle Nowy Bieżanów-Północ, Bieżanów, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-855, Polska",50.0237189,20.013068,6.873971819303651,Bieżanów-Prokocim
6138,"https://krakow.nieruchomosci-online.pl/mieszkanie,kawalerka,z-oddzielna-kuchnia/24799188.html","Kawalerka, ul. Seweryna","Seweryna, Na Kozłówce, Kraków, małopolskie",449000.0,24.68,18192.87,1,4,1,1970.0,False,wtórny,pełna własność,parking publiczny / na ulicy,"Seweryna Udzieli, Osiedle Nowy Bieżanów-Północ, Bieżanów, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-855, Polska",50.0237189,20.013068,6.873971819303651,Bieżanów-Prokocim
6139,"https://krakow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/24769198.html","Mieszkanie, ul. Seweryna","Seweryna, Podgórze, Kraków, małopolskie",590000.0,34.0,17353.0,2,4,2,2007.0,True,wtórny,pełna własność,tak,"Seweryna Goszczyńskiego, Rogatka, Płaszów, Podgórze, Kraków, województwo małopolskie, 30-724, Polska",50.0377005,19.9910359,4.6830011298115,Podgórze
