address,manipulated address,location,latitude,longitude
"Rydla, Bronowice Małe, Kraków, małopolskie","Rydla, Bronowice Małe, Kraków, małopolskie","ROD im. Lucjana Rydla, Prądnik Biały, Kraków, województwo małopolskie, Polska",50.08525945,19.89239782584007
"Augustynka-Wichury, Kraków, małopolskie","Augustynka-Wichury, Kraków, małopolskie","Antoniego Augustynka-Wichury, Nowy Kleparz, Krowodrza, Kraków, województwo małopolskie, 30-010, Polska",50.0789658,19.9310892
"Głowackiego, Bronowice Małe Wschód, Kraków, małopolskie","Głowackiego, Bronowice Małe Wschód, Kraków, małopolskie","Bartosza Głowackiego, Bronowice, Kraków, województwo małopolskie, 30-084, Polska",50.0775737,19.9042255
"Szwedzka, Kraków, małopolskie","Szwedzka, Kraków, małopolskie","Szwedzka, Dębniki, Kraków, województwo małopolskie, 30-317, Polska",50.0495985,19.9223537
"al. Kijowska, Nowa Wieś, Krowodrza, Kraków, małopolskie","al. Kijowska, Nowa Wieś, Krowodrza, Kraków, małopolskie","Aleja Kijowska, Łobzów, Krowodrza, Kraków, województwo małopolskie, 30-023, Polska",50.0766089,19.917387
"os. Akademickie, Czyżyny, Czyżyny, Kraków, małopolskie","os. Akademickie, Czyżyny, Czyżyny, Kraków, małopolskie","Osiedle Akademickie, Czyżyny, Kraków, województwo małopolskie, 31-866, Polska",50.0852438,19.994655
"Małysiaka, Kliny Zacisze, Kraków, małopolskie","Małysiaka, Kliny Zacisze, Kraków, małopolskie","Biskupa Albina Małysiaka, Kobierzyn, Dębniki, Kraków, województwo małopolskie, 30-389, Polska",49.9987185,19.8938794
"Żabiniec, Krowodrza, Kraków, małopolskie","Żabiniec, Krowodrza, Kraków, małopolskie","Żabiniec, Prądnik Biały, Kraków, województwo małopolskie, Polska",50.0859311,19.9417425
"Sebastiana Klonowica, Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie","Sebastiana Klonowica, Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie","Sebastiana Klonowica, Wola Duchacka, Podgórze Duchackie, Kraków, województwo małopolskie, 30-654, Polska",50.0202294,19.9561864
"Murarska, Azory, Prądnik Biały, Kraków, małopolskie","Murarska, Azory, Prądnik Biały, Kraków, małopolskie","Murarska, Azory, Prądnik Biały, Kraków, województwo małopolskie, 31-310, Polska",50.0839989,19.9110676
"Galicyjska, Czyżyny, Kraków, małopolskie","Galicyjska, Czyżyny, Kraków, małopolskie","Galicyjska, Błonie-Beszcz, Łęg, Czyżyny, Kraków, województwo małopolskie, 30-580, Polska",50.0567004,20.004607
"Na Błonie, Wola Justowska, Kraków, małopolskie","Na Błonie, Wola Justowska, Kraków, małopolskie","Na Błonie, Osiedle Widok-Zarzecze, Bronowice, Kraków, województwo małopolskie, 30-146, Polska",50.0729546,19.8777465
"Sądowa 1, Bieńczyce, Bieńczyce, Kraków, małopolskie","Sądowa 1, Bieńczyce, Bieńczyce, Kraków, małopolskie","1, Sądowa, Grzegórzki, Kraków, województwo małopolskie, 31-542, Polska",50.0625139,19.965412579409232
"al. Ignacego Daszyńskiego, Grzegórzki, Grzegórzki, Kraków, małopolskie","al. Ignacego Daszyńskiego, Grzegórzki, Grzegórzki, Kraków, małopolskie","Aleja Ignacego Daszyńskiego, Grzegórzki, Kraków, województwo małopolskie, 31-536, Polska",50.0522169,19.9544966
"Wysokie, Wysokie, Kraków, małopolskie","Wysokie, Wysokie, Kraków, małopolskie","Hababa, 8, oOsiedle Wysokie, Bieńczyce, Kraków, województwo małopolskie, 31-819, Polska",50.0896472,20.0170119
"Heleny, Podgórze Duchackie, Kraków, małopolskie","Heleny, Podgórze Duchackie, Kraków, małopolskie","Heleny, Osiedle Nowy Bieżanów-Północ, Bieżanów, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-857, Polska",50.0146953,20.0245091
"Zielone, Kraków, małopolskie","Zielone, Kraków, małopolskie","Osiedle Zielone, Nowa Huta, Kraków, województwo małopolskie, Polska",50.0795971,20.0426044
"Brązownicza 14, Małe Błonia, Krowodrza, Kraków, małopolskie","Brązownicza 14, Małe Błonia, Krowodrza, Kraków, małopolskie","14, Brązownicza, Małe Błonia, Krowodrza, Kraków, województwo małopolskie, 30-142, Polska",50.0678875,19.8926929811756
"Jana Pawła Woronicza, Prądnik Czerwony, Prądnik Czerwony, Kraków, małopolskie","Jana Pawła Woronicza, Prądnik Czerwony, Prądnik Czerwony, Kraków, małopolskie","Jana Pawła Woronicza, Prądnik Czerwony, Kraków, województwo małopolskie, 31-409, Polska",50.0865056,19.9598216
"Okólna 22, Kozłówek, Kraków, małopolskie","Okólna 22, Kozłówek, Kraków, małopolskie","22, Okólna, Kozłówka, Bieżanów-Prokocim, Kraków, województwo małopolskie, 30-667, Polska",50.01593165,19.98399771533905
"Chełmska, Chełm, Zwierzyniec, Kraków, małopolskie","Chełmska, Chełm, Zwierzyniec, Kraków, małopolskie","Chełmska, Chełm, Zwierzyniec, Kraków, województwo małopolskie, 30-238, Polska",50.0671869,19.8462439
